Time,True Heading
81540,-2.715235
81600,-2.7156
81660,-2.715965
81720,-2.716328
81780,-2.716691
81840,-2.717052
81900,-2.717413
81960,-2.717772
82020,-2.718131
82080,-2.718489
82140,-2.718846
82200,-2.719202
82260,-2.719558
82320,-2.719912
82380,-2.720265
82440,-2.720618
82500,-2.720969
82560,-2.72132
82620,-2.72167
82680,-2.722019
82740,-2.722368
82800,-2.722715
82860,-2.723061
82920,-2.723407
82980,-2.723752
83040,-2.724095
83100,-2.724438
83160,-2.72478
83220,-2.725122
83280,-2.725462
83340,-2.725802
83400,-2.72614
83460,-2.726478
83520,-2.726815
83580,-2.727151
83640,-2.727487
83700,-2.727821
83760,-2.728155
83820,-2.728488
83880,-2.72882
83940,-2.729151
84000,-2.729481
84060,-2.729811
84120,-2.730139
84180,-2.730467
84240,-2.730794
84300,-2.731121
84360,-2.731446
84420,-2.731771
84480,-2.732095
84540,-2.732418
84600,-2.73274
84660,-2.733061
84720,-2.733382
84780,-2.733702
84840,-2.734021
84900,-2.734339
84960,-2.734657
85020,-2.734973
85080,-2.735289
85140,-2.735604
85200,-2.735919
85260,-2.736232
85320,-2.736545
85380,-2.736857
85440,-2.737168
85500,-2.737478
85560,-2.737788
85620,-2.738097
85680,-2.738405
85740,-2.738713
85800,-2.739019
85860,-2.739325
85920,-2.73963
85980,-2.739934
86040,-2.740238
86100,-2.740541
86160,-2.740843
86220,-2.741144
86280,-2.741445
86340,-2.741745
86400,-2.742044
86460,-2.742342
86520,-2.74264
86580,-2.742937
86640,-2.743233
86700,-2.743528
86760,-2.743823
86820,-2.744117
86820,-2.74441
